video_id,channel_name,thumbnail_score_nn,perf_norm,performance_score
JIgqCBrnU8g,cozmouz,9.5,-0.18302853370420893,0.0078981528770854
UYq7KY90i4M,cozmouz,9.0,-0.45044041411726393,0.0033967662652394
oFqwcngsts8,cozmouz,18.9,2.7306742368877517,0.0569449739165329
MLDDhjtNNQU,cozmouz,8.3,-0.564481133099175,0.0014771007483688
MNzIazg3uE8,cozmouz,9.5,-0.07957687004657357,0.0096395711455721
a99i6o4_GQE,cozmouz,7.9,-0.6263503776886992,0.0004356459377219
oOtlQ5gs-Mk,cozmouz,9.2,-0.1712515299307146,0.0080963970502006
dqL66xD2b2s,cozmouz,16.7,1.8847149627666613,0.0427048072312919
CalwKr4dREY,cozmouz,8.5,-0.3333559134149361,0.0053676682427508
u647osOlrHQ,cozmouz,15.5,1.542553546496611,0.0369451498222448
gzpe60OtC_E,cozmouz,11.0,0.23537880463339161,0.0149412699898397
34vabMjXEnI,cozmouz,8.2,-0.6416159151348303,0.0001786787237877
DVswxSZwNDA,cozmouz,7.8,-0.601010287636722,0.0008621996941472
O3Gw7mtrgrs,cozmouz,8.9,-0.16330663322081526,0.0082301347570938
IMibQ7hCx6s,cozmouz,8.0,-0.6422263943426921,0.0001684024304202
GjF4habKGd4,cozmouz,8.0,-0.6436534596374505,0.0001443804138885
UeosWWpxZfM,cozmouz,7.9,-0.6455069785571075,0.0001131798358257
T43nj27aX5g,cozmouz,7.9,-0.6475171102532271,7.934297004777086e-05
GgvBpuCa1Ps,Emeka Moemeka,7.0,-1.1221213735982556,0.0695107858243451
WxouZFNtzbs,Emeka Moemeka,11.1,0.7969265157381437,0.2069568155039015
KfcE8rnf1JY,Emeka Moemeka,10.4,0.3251948578601113,0.1731704551896151
WbnyFaabVwU,Across The Rubicon,15.5,1.2310782628978674,0.0012597001763668
JhT5Gw82gXo,Across The Rubicon,12.5,0.9998632098290708,0.0011077744411077
5q9pClfX-Io,Across The Rubicon,15.1,1.4710487880281713,0.0014173789173789
DNHj8GwzvYg,Across The Rubicon,17.0,2.28584934162864,0.0019527643585614
DJ3Dto1ZZdI,Across The Rubicon,16.3,1.2529146859784925,0.0012740483539094
-c85Mtac5Qc,Across The Rubicon,12.8,0.9514108315378171,0.0010759375727929
ugIqYTcJoko,Across The Rubicon,9.9,0.3303616622029421,0.0006678614097968
vTkZK8PK114,Across The Rubicon,18.5,2.3638508650811514,0.0020040172447579
INw4OhXm8Sk,Across The Rubicon,9.7,0.05738640843104399,0.0004884960718294
cCALeEAiiIQ,Across The Rubicon,9.5,0.11356104968334368,0.0005254070495616
20C9LKGJ_dc,Across The Rubicon,9.7,0.38313255686373043,0.0007025358692025
c2m9QcRH7nI,Across The Rubicon,10.1,-0.0009931708166247047,0.0004501362834696
9LLOLFf5m_s,Across The Rubicon,9.7,0.30285739273865275,0.0006497890295358
nit5Gg0-pag,Across The Rubicon,19.0,2.6695857927027324,0.0022049081601927
y9Ey94vngNg,Across The Rubicon,10.9,0.482697198937321,0.0007679573512906
ms7EZB3uBS8,Across The Rubicon,12.9,0.8945305063593605,0.0010385629074767
x9OzDe5JuWo,Across The Rubicon,9.4,-0.16887636120066943,0.0003398243604429
qFwmj4jpRc0,Across The Rubicon,10.8,0.3573470193757853,0.0006855928255299
z_FpSyfwjw0,Across The Rubicon,10.2,0.2675666758128315,0.0006266003657978
7_Drt805Qbg,Across The Rubicon,10.1,-0.02462292665898349,0.0004346097509939
PqxBzVs19O4,Across The Rubicon,13.9,1.212802573113024,0.0012476916692602
4IJl6e4m7sQ,Across The Rubicon,15.9,1.6121620994288222,0.001510101010101
PdWV5X_K9vM,Across The Rubicon,11.4,0.45452095409262583,0.0007494434325035
FqLLKcM_MOc,Across The Rubicon,15.1,1.4119562135525872,0.0013785506373582
ce9lJz45bWM,Across The Rubicon,20.0,3.6576513414369822,0.0028541417761847
9HWUytz3aZQ,Across The Rubicon,17.7,2.1532966737716794,0.0018656672545561
Tzk7DC92cAk,Across The Rubicon,20.0,12.610002731313843,0.0087365121026538
QJRKjuAXqMw,Across The Rubicon,10.9,0.19862372590661917,0.0005812996458991
sSyIWuKvqwM,Across The Rubicon,9.4,-0.11870303285309607,0.000372792022792
sAX7nP7wBTs,Across The Rubicon,10.4,0.5163599762570115,0.0007900763358778
kYdweM7HoA8,Across The Rubicon,20.0,6.394631058673952,0.0046525439580995
vFSE2QvN5iI,Across The Rubicon,11.8,1.1368136206129198,0.0011977611940298
MiZrSkGqmQU,Across The Rubicon,10.3,0.10189442667598093,0.0005177411979881
um98hsS5KTk,Across The Rubicon,10.4,0.04831787619843163,0.0004825373619233
GU_Wz8dncNw,Across The Rubicon,9.6,-0.18306818356227447,0.000330499262365
MOPN14GEEU8,Across The Rubicon,9.5,-0.20523518851350464,0.0003159338675907
riqwhXG1Fus,Across The Rubicon,9.3,-0.2064495428100462,0.0003151359451937
ljrLOUUwPzM,Across The Rubicon,9.3,0.09046503561203838,0.0005102312257008
5w3AGIH96OQ,Across The Rubicon,9.2,-0.2760437834640538,0.0002694072781332
gIl9jDeCi_o,Across The Rubicon,9.6,-0.03465915050918891,0.0004280151946818
nBoHZT8wZqY,Across The Rubicon,10.6,0.3408030999641518,0.0006747222222222
ngkDQK2SJUE,Across The Rubicon,8.8,-0.30198764541831596,0.0002523602033405
MPcjFUALgAA,Across The Rubicon,9.2,-0.12601521530190427,0.0003679873672121
OGjJ3FSgeSU,Across The Rubicon,9.1,-0.27045830531880516,0.0002730773587042
dZ9mMJrwEqI,Across The Rubicon,8.9,-0.39982269136337123,0.0001880751964085
ESdu8RNo27o,Across The Rubicon,10.4,0.17902959520580217,0.0005684248236331
SiwbASbtpOs,Across The Rubicon,10.0,0.16424279608218112,0.000558708780931
Gdp06MObqxM,Across The Rubicon,10.3,0.27088111662763786,0.0006287782034908
RNdyw3BjZYw,Across The Rubicon,17.1,2.4282531425143077,0.0020463344002438
tYyr-dr_OzE,Across The Rubicon,9.2,-0.15411393579132596,0.0003495243877757
XqfoC-ha_nk,Across The Rubicon,9.7,-0.03339083073767885,0.0004288485764676
AuCtagYNCqc,Across The Rubicon,9.2,-0.1014993266909756,0.0003840961557763
58hxSWQFEAE,Across The Rubicon,9.1,-0.30111062453224213,0.0002529364722347
W3uWe0p12TA,Across The Rubicon,10.2,0.0528476111297031,0.0004855137395459
EkiOv4_VjY8,Across The Rubicon,9.9,-0.12310250968633982,0.0003699012345679
y7Vkldbs-Xg,Across The Rubicon,10.5,0.16951203552059177,0.0005621710688111
7uCXUMvM7q0,Across The Rubicon,9.5,-0.2519345353465694,0.0002852488732118
F4jAE4d88x0,Across The Rubicon,9.5,-0.028815704382093334,0.0004318547796808
oAHslPspqoY,Across The Rubicon,12.3,1.0092884915329425,0.0011139675623335
MHpj-HyRd_4,Across The Rubicon,9.6,0.2429252684031377,0.0006104091019123
-GxARUPJOMY,Across The Rubicon,10.0,0.2669862095420938,0.0006262189556612
WXrk04v0m-o,Across The Rubicon,9.6,0.1735355399749452,0.0005648148148148
9BdxQyQZjAg,Across The Rubicon,9.7,-0.1849212428241289,0.0003292816626149
24MNOh-Mx5E,Across The Rubicon,9.3,-0.33705091806572685,0.0002293209876543
QUslykVcEjA,Across The Rubicon,9.5,-0.18015342974448595,0.0003324144755442
uNKQQxGCaZE,Across The Rubicon,9.4,-0.2575344075964622,0.000281569334628
_--W5vQ10G0,Across The Rubicon,9.6,-0.17805655492998676,0.0003337922805085
VdQ2XxCoKyU,Across The Rubicon,9.2,-0.44318017751352434,0.0001595860566448
aBajheRdZUI,Across The Rubicon,9.0,-0.3316431943114437,0.0002328742701787
eZCvHVsJD6Q,Across The Rubicon,9.1,-0.412770579236887,0.0001795674571453
2y8VYCemWhE,Across The Rubicon,9.3,-0.2777162640058687,0.000268308332227
xaMl3kHNm-c,Across The Rubicon,9.5,-0.19771101496352092,0.000320877817319
5wKKP8TdKTA,Across The Rubicon,9.4,-0.3120030174403479,0.0002457793482528
kLyaZRWzyUs,Across The Rubicon,9.4,-0.2552004229846372,0.0002831029386193
jJGQhQma2Q0,Across The Rubicon,9.3,-0.2864623214902658,0.0002625615125615
SJ6-uke7iCU,Across The Rubicon,9.5,-0.24164541409993487,0.0002920096021947
JX8ZBqCLgyU,Across The Rubicon,9.3,-0.344712225512847,0.0002242869306087
KvQGAvnlGs8,Across The Rubicon,9.2,-0.18444958425910865,0.0003295915778792
0prUkINlUvE,Across The Rubicon,9.2,0.2234214761712365,0.0005975936388365
bnbc7p1x3y8,Across The Rubicon,9.6,-0.23712777966791151,0.0002949780288763
uXc8ngVTqj0,Across The Rubicon,9.1,-0.328591199865549,0.0002348796608055
kGVwJEKplSU,Across The Rubicon,9.1,-0.24451592980997117,0.0002901234567901
qrBt-T4B7hw,Across The Rubicon,9.0,-0.06709030507772762,0.0004067054791692
TYD-iLTXWZE,Across The Rubicon,9.3,-0.14083404675159975,0.0003582502768549
o7usuepuCAc,Across The Rubicon,9.3,-0.22435837698453998,0.0003033684899027
lbcKWT8au8k,Across The Rubicon,9.5,-0.0635726748937109,0.0004090168276086
NyvPX7DPhII,Across The Rubicon,9.4,-0.2422366291090252,0.000291621129326
fjL1nObZ2Uo,Across The Rubicon,9.3,-0.2842968404509631,0.0002639843969919
y4StH6MH2yU,Across The Rubicon,9.7,-0.18523078628205192,0.0003290782692077
1vTMgOj-15E,Across The Rubicon,9.1,-0.34246028286153496,0.0002257666268418
nEMBy5eJY8o,Across The Rubicon,9.1,-0.24713552631466446,0.0002884021842355
UqiWGNYR6Bo,Across The Rubicon,9.5,-0.23524157118100403,0.0002962174101684
GXYUFcfV96c,Across The Rubicon,9.4,-0.3154228204842575,0.0002435322796256
ZHL6ecQUP_I,Across The Rubicon,9.1,-0.335895255896771,0.0002300803448951
mpjyInxTO6o,Across The Rubicon,9.7,-0.04830346354764723,0.0004190498515393
TDI31Od0OBg,Across The Rubicon,9.3,0.35790832090405394,0.0006859616429847
PI4DfjoGVeA,Across The Rubicon,8.7,-0.33413099250990563,0.0002312395990556
vWj3psnIKe8,Across The Rubicon,9.0,-0.39993478381575953,0.0001880015432098
d2E23uQ-GS4,Across The Rubicon,9.3,-0.020571805283812094,0.0004372716433983
9oZJ7sQnkjQ,Across The Rubicon,9.3,-0.16365997364045692,0.0003432519206513
_lohRzSQFv4,Across The Rubicon,9.5,-0.23120717515386424,0.0002988683127572
JuEf1_jjR8c,Across The Rubicon,9.0,-0.25026820241062564,0.0002863437796771
qaZWsqqa_WA,Across The Rubicon,9.2,-0.3648278403602871,0.0002110694539119
xpAhdGM2Gtg,Across The Rubicon,9.0,-0.14025803310863225,0.0003586287612791
rKbMJIg6TJ8,Across The Rubicon,10.0,0.20375233228946824,0.0005846695272508
FGQSyYkrYWU,Across The Rubicon,9.5,0.14516669087602171,0.0005461743405005
cyZFzixtZrg,Across The Rubicon,9.6,-0.011790647856224225,0.0004430415263748
136YelMAPo4,Across The Rubicon,9.6,-0.13652272959745712,0.0003610831375181
dEj9s2ZTofE,Across The Rubicon,9.3,-0.3882900950988644,0.0001956529822995
eUOJxVIX75I,Across The Rubicon,9.3,-0.22665807777543123,0.0003018574129685
YPlfdtl5Z1E,Across The Rubicon,9.3,-0.15357238350704652,0.0003498802284871
13lVon1unVI,Across The Rubicon,9.2,-0.26743049708665095,0.0002750668571637
QrvrJREpErI,Across The Rubicon,9.0,-0.24284828216778054,0.0002912192271166
q7KeFIThwak,Across The Rubicon,9.2,-0.24737028010584555,0.0002882479332823
LRts9XoO4jI,Across The Rubicon,9.9,-0.06577336814185036,0.0004075708061002
eglYtNM8HFs,Across The Rubicon,10.0,0.04902510353927324,0.0004830020636472
Fxh9k-o-LW0,Across The Rubicon,9.3,-0.24227003466658883,0.0002915991793542
rMN9ajQBOig,Across The Rubicon,9.4,-0.3591277934363809,0.0002148148148148
BxAiuHPu9W0,Across The Rubicon,9.4,-0.22369660654055443,0.0003038033230156
SWMUOCMiRGs,Across The Rubicon,9.0,-0.27504777872690434,0.000270061728395
vIMkAmf9xNg,Across The Rubicon,9.5,-0.2037447007486669,0.0003169132305109
rBTC0Yg6sFU,Across The Rubicon,9.3,-0.44564664075390803,0.0001579654041989
qZaCzaJGajY,Across The Rubicon,8.9,-0.32801600995918473,0.0002352576039726
-0GKNf2owSY,Across The Rubicon,9.4,-0.36104831374328983,0.0002135528880681
Z-CcyoCg7Vc,Across The Rubicon,9.5,-0.0979941967163157,0.000386399290635
P5zPWaKKQLI,Across The Rubicon,9.2,-0.21306394298051073,0.000310789785219
o6jEUVyp6W8,Across The Rubicon,9.1,-0.3697406666796787,0.0002078413563427
ZcOyZdk38B0,Across The Rubicon,9.2,-0.34989675951640925,0.0002208803005904
uYMaZKwojCw,Across The Rubicon,9.4,-0.17784097325637907,0.0003339339339339
yTqZj9bGYK8,Across The Rubicon,8.9,-0.32573216315718484,0.0002367582636399
WVv1puC0u40,Across The Rubicon,9.3,-0.39669034198224873,0.0001901333862906
aAwkgLbaNlM,Across The Rubicon,9.2,-0.2579544647096986,0.0002812933254109
M761uDAf1i4,Across The Rubicon,9.1,0.0682832972700139,0.0004956561499771
kei3C_8JowM,Across The Rubicon,8.8,-0.26855968337148256,0.0002743248965764
5ryfiSUeShY,Across The Rubicon,9.2,-0.4580163729242135,0.0001498375568551
uiT2HsU1JsA,Across The Rubicon,9.4,-0.4770338666451243,0.0001373416285927
z4JzDxpKFc0,Across The Rubicon,9.3,-0.39261754797088366,0.0001928095192522
I30V0HMDaEA,Across The Rubicon,9.4,-0.19303935297734778,0.0003239474517252
qWiBHc-_5n4,Across The Rubicon,9.1,-0.3937213453313898,0.0001920842411038
Jt-np990pmw,Across The Rubicon,9.3,-0.3868700762513083,0.0001965860418241
yxFqbpkfxNw,Across The Rubicon,9.2,-0.35520354411126226,0.0002173933427097
SPnwdppXWaY,Across The Rubicon,9.0,-0.15618003211064457,0.000348166806605
8HfYeRbePLw,Across The Rubicon,9.4,-0.37261515213077934,0.0002059526025187
jj34LEGJ_Sc,Across The Rubicon,9.1,-0.42578116822568735,0.0001710185185185
c_yQm1rspII,Across The Rubicon,8.9,-0.46941963178739365,0.0001423447553954
YYzUf-wDpDs,Across The Rubicon,9.3,-0.14817072532558964,0.0003534295254725
yO8hhgHLt-E,Across The Rubicon,9.1,-0.21837899288491425,0.0003072973964063
uioXoOnFOyU,Across The Rubicon,9.0,-0.30476976427724933,0.0002505321413367
vM1f1Hpmtsg,Across The Rubicon,9.4,-0.20292198405437048,0.0003174538174538
-pJ3SbZaPe8,Across The Rubicon,9.4,-0.1144871190382661,0.000375562196263
zyvRhuCABz4,Across The Rubicon,9.1,-0.28545363627465975,0.0002632242948544
03j5HXu5CmI,Across The Rubicon,9.1,-0.2096192229565548,0.0003130532261821
_VRaRvPRjvk,Across The Rubicon,8.9,-0.38527850860499735,0.000197631821853
RSVbfxdiDUk,Across The Rubicon,9.0,-0.5356774060416796,9.88083984990404e-05
E-33-BjBTFI,Across The Rubicon,9.2,-0.42659481095459445,0.0001704838938555
gcOwl5SMIto,Across The Rubicon,9.3,-0.4084931065545903,0.0001823780794369
l0lKCKCeZE0,Across The Rubicon,9.1,-0.3052959036992989,0.0002501864280387
B5-I4fdROXY,Across The Rubicon,9.2,-0.33592840054350653,0.0002300585663614
mlS4_36p_G4,Across The Rubicon,9.3,-0.3923020802432373,0.0001930168053516
2BoxqxLelJs,Across The Rubicon,9.5,-0.060738970162178586,0.0004108787854229
-lVhgkknXyA,Across The Rubicon,9.5,-0.30492610311847856,0.0002504294149221
TNHGs5hxSzw,Across The Rubicon,9.5,0.4422503039759978,0.0007413806895448
F4GC4se2QZ4,Across The Rubicon,9.4,-0.44834869646784836,0.0001561899497222
sPhUDS4lvnI,Across The Rubicon,9.2,-0.20469960048598504,0.0003162857893354
yunga-3OXJc,Across The Rubicon,8.9,-0.4735446035300238,0.0001396343377275
sEeLsBf2qlU,Across The Rubicon,9.2,-0.4230494546676256,0.0001728134604365
ChZvTQ6z8L0,Across The Rubicon,9.0,-0.5123650801208652,0.0001141263555659
LBLNNneOAhA,Across The Rubicon,9.0,-0.47481667368377156,0.0001387984916576
IKDVyKkPFyI,Across The Rubicon,8.9,-0.4939288237723965,0.0001262403670197
r3LSEjjQvyo,Across The Rubicon,9.5,-0.3724365480924878,0.0002060699588477
bSZzKAbcchI,Across The Rubicon,9.4,-0.3538895769774027,0.0002182567182567
iqMh22uJ6Xg,Across The Rubicon,9.2,-0.42555251903298774,0.0001711687582899
-Mq-3_hItM0,Across The Rubicon,8.8,-0.4226425444152066,0.0001730808311741
JnxWqJutKoI,Across The Rubicon,9.3,-0.34714075131550676,0.0002226912059218
32_Rk8iQU8U,Across The Rubicon,9.4,-0.40589580967770844,0.0001840846994535
tSwSSbTEFkU,Across The Rubicon,9.4,-0.3118905997181602,0.0002458532151783
tyi1yDjGxAE,Across The Rubicon,9.3,-0.3318264729606884,0.0002327538422776
Rao3joLkv3o,Across The Rubicon,9.0,-0.41474196676681,0.0001782721067951
eepEYSvrcYQ,Across The Rubicon,9.1,-0.4167532114295214,0.0001769505673014
YJNFcO-eqqs,Across The Rubicon,8.9,-0.41769828534411124,0.0001763295824328
oKc1EYEmrQk,Across The Rubicon,8.9,-0.3149551784079011,0.0002438395557538
kp0Ew6irrM4,Across The Rubicon,9.2,-0.2696681111900215,0.0002735965758677
H7y8uHdpMJw,Across The Rubicon,9.4,-0.33118880307376575,0.0002331728395061
TZ_aJBkdvPg,Across The Rubicon,9.2,-0.2803344764399827,0.0002665879691112
tLcTJ__QD54,Across The Rubicon,9.3,-0.4489562954512365,0.0001557907113462
Vs8IV4hOWSs,Across The Rubicon,9.2,-0.3409107972934091,0.0002267847557702
scnAdaqndYU,Across The Rubicon,9.2,-0.3477247894471269,0.0002223074488031
rU4KfKs9kgM,Across The Rubicon,9.1,-0.2970358879710555,0.0002556138815981
nAfkjbPoszI,Across The Rubicon,8.8,-0.43605147432745184,0.0001642701525054
ojsZ1J-12Us,Across The Rubicon,9.2,-0.3630032194497259,0.0002122683675195
TmsNRVreymY,Across The Rubicon,9.3,-0.17014959347575173,0.0003389877507716
9APE1dpzVd8,Across The Rubicon,9.3,-0.24585275690303102,0.0002892450605251
E-wdzwydcI8,Across The Rubicon,9.9,0.12128139088578757,0.0005304798962386
g9NbxRamOsw,Across The Rubicon,9.2,-0.12928385237429865,0.0003658396260338
O1DGf7xDYys,Across The Rubicon,9.6,0.24246432947950702,0.0006101062302612
KkAWPPCKHKs,Across The Rubicon,9.4,0.0898489277525507,0.0005098263963512
w10GAdKRT5w,Across The Rubicon,9.2,-0.14137647516144305,0.0003578938604629
ZNgIbO5ep_c,Across The Rubicon,9.2,-0.3270021521394353,0.0002359237850567
l0UaBnamT48,Across The Rubicon,9.6,0.04887471759963916,0.0004829032487381
yK9yaEEHmHk,Across The Rubicon,9.4,0.022260213538644536,0.0004654155114807
hobWxZNFGDs,Across The Rubicon,9.5,-0.06877557928058711,0.0004055981268624
Kd9FQcuhD30,Across The Rubicon,9.0,-0.2576106307133485,0.0002815192502891
ciXEOMsV4WI,Across The Rubicon,9.6,0.13763098035476756,0.0005412228101116
CUzz4_a1PPI,Across The Rubicon,9.2,-0.18951945836357967,0.0003262602880658
fqJviX9SVqU,Across The Rubicon,9.1,-0.13572540692811802,0.0003616070386706
tK5zToeKNcE,Across The Rubicon,9.2,-0.1546486009225492,0.0003491730724435
BgIOvwzHJbk,Across The Rubicon,9.2,-0.15704702582907634,0.0003475971263165
XyQuVb7UvWw,Across The Rubicon,9.4,-0.03061232556404846,0.0004306742640075
Yo9IfPNI-iU,Across The Rubicon,9.6,0.43012598845680844,0.0007334140994577
i3hx510Mf1E,Across The Rubicon,9.1,-0.22428720805465044,0.0003034152532594
IPfKfG6rQAE,Across The Rubicon,9.2,0.1978803953971596,0.0005808112216694
dnmryDquZ5E,Across The Rubicon,9.5,0.7313311204304986,0.0009313285973745
RjtCdLcJ_DQ,Across The Rubicon,11.2,0.36589404593334884,0.0006912088668594
kO5IBmIbeJc,Across The Rubicon,9.5,0.054571569783889454,0.000486646510456
lDYl6JdrKDg,Across The Rubicon,9.4,-0.2177739719928206,0.0003076949407818
VpQEYmndKdA,Across The Rubicon,9.3,-0.15984486426417902,0.0003457587353651
_ebyTsMfPOM,Across The Rubicon,9.5,-0.10160015881794869,0.000384029901461
zenEg2EypcI,Across The Rubicon,15.0,1.6154750150262454,0.0015122778456111
QF_4ViLo9I4,Across The Rubicon,8.7,-0.2836221145850579,0.0002644277427945
lN_vlZBuDtg,Across The Rubicon,9.2,0.40489872525407006,0.0007168378841128
9Dxr7-ya1mQ,Across The Rubicon,9.3,0.15524205175678152,0.0005527946127946
cZi9z7TQ8mw,Across The Rubicon,9.2,-0.18236957252842154,0.0003309583025251
I4Z2qUi18EQ,Across The Rubicon,9.3,0.057688106542755045,0.0004886943102522
BFH8g-ATIBc,Across The Rubicon,9.3,-0.5855348949830319,6.60482664702074e-05
C71lo0S70Hw,Across The Rubicon,9.3,-0.18782724837200143,0.0003273721977091
fyA6afUd904,Across The Rubicon,9.2,-0.2263533940440365,0.0003020576131687
nFc-EltgsN0,Across The Rubicon,10.6,0.5266033401779736,0.0007968069988453
7QNoMaMh0lw,Across The Rubicon,10.8,0.149729046536875,0.0005491721524037
65Uf82gD7oE,Across The Rubicon,9.1,-0.401678769423443,0.0001868556130802
VzPM3d9I8FA,Across The Rubicon,9.5,-0.18814943950195068,0.0003271604938271
Ux9X62nAzL0,Across The Rubicon,9.2,-0.4236484343401084,0.0001724198855981
e2lZxwgZkGs,Across The Rubicon,9.4,-0.11103135737504385,0.0003778328924162
xajALOH9IN8,Across The Rubicon,9.2,-0.2800972768170517,0.0002667438271604
wkPTEYG1NF0,Across The Rubicon,9.2,-0.4417819000504311,0.0001605048304394
Q3o8qbTuPRo,Across The Rubicon,9.4,-0.24121699974737054,0.0002922911027486
2cQQR__pfpE,Across The Rubicon,9.6,-0.19080729002353666,0.0003254140854971
Ics9K-zf4ms,Across The Rubicon,9.3,-0.26440605901282005,0.0002770541411749
NUcVrnQrPu4,Across The Rubicon,9.3,-0.18371874020472553,0.0003300717975658
sLYlWYYi_aA,Across The Rubicon,9.5,0.18757728070215177,0.0005740412979351
MQccxuV-0a8,Across The Rubicon,9.5,-0.3540621123875112,0.0002181433494743
FdgibJ2LNZY,Across The Rubicon,9.7,0.07757830052187868,0.0005017636684303
NKz0-gVciXY,Across The Rubicon,9.2,-0.4115516012941634,0.0001803684176267
x0sV2cljZEQ,Across The Rubicon,9.2,-0.12873388465965724,0.0003662009963179
xOmTPDHroMk,Across The Rubicon,9.3,-0.32416280067434344,0.000237789453201
r-VkMhEnIAs,Across The Rubicon,9.0,-0.4202177693542562,0.0001746740913407
jVPX9U7NBVE,Across The Rubicon,9.4,-0.19575678432537325,0.0003221618942968
uOyvy1LxWYI,Across The Rubicon,9.2,-0.31019514460382336,0.0002469672571121
4S3LyOQVB4s,Across The Rubicon,9.2,-0.03167371380295343,0.0004299768518518
dKSM-GJ-j7s,Across The Rubicon,9.4,-0.4226027787382776,0.0001731069602242
